index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-43db14ef-15e7-0c43-1a35-c81191c2a009,546.17,NVIDIA GeForce RTX 4070,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,3,12282,9719,2306,2024/03/11 17:06:44.183
0,2,12282,9719,2306,2024/03/11 17:07:14.226
0,0,12282,9719,2306,2024/03/11 17:07:44.274
0,0,12282,9719,2306,2024/03/11 17:08:14.319
0,4,12282,9719,2306,2024/03/11 17:08:44.363
0,0,12282,9719,2306,2024/03/11 17:09:14.409
0,0,12282,9719,2306,2024/03/11 17:09:44.458
0,0,12282,9719,2306,2024/03/11 17:10:14.500
0,1,12282,9719,2306,2024/03/11 17:10:44.539
0,72,12282,9719,2306,2024/03/11 17:11:14.587
0,0,12282,9719,2306,2024/03/11 17:11:44.633
0,1,12282,9719,2306,2024/03/11 17:12:14.679
0,0,12282,9719,2306,2024/03/11 17:12:44.724
0,3,12282,9719,2306,2024/03/11 17:13:14.781
0,0,12282,9719,2306,2024/03/11 17:13:44.836
0,6,12282,9719,2306,2024/03/11 17:14:14.885
0,0,12282,9719,2306,2024/03/11 17:14:44.933
0,0,12282,9719,2306,2024/03/11 17:15:14.976
0,0,12282,9719,2306,2024/03/11 17:15:45.027
0,0,12282,9719,2306,2024/03/11 17:16:15.080
0,38,12282,9719,2306,2024/03/11 17:16:45.129
0,1,12282,9719,2306,2024/03/11 17:17:15.178
0,42,12282,9719,2306,2024/03/11 17:17:45.218
0,0,12282,9719,2306,2024/03/11 17:18:13.874
0,1,12282,9719,2306,2024/03/11 17:18:43.918
0,76,12282,9719,2306,2024/03/11 17:19:13.964
0,0,12282,9719,2306,2024/03/11 17:19:44.018
0,14,12282,9719,2306,2024/03/11 17:20:14.075
0,1,12282,9719,2306,2024/03/11 17:20:44.127
0,43,12282,9719,2306,2024/03/11 17:21:14.169
0,1,12282,9719,2306,2024/03/11 17:21:44.244
0,8,12282,9719,2306,2024/03/11 17:22:14.284
0,48,12282,9719,2306,2024/03/11 17:22:44.325
0,0,12282,9719,2306,2024/03/11 17:23:14.380
0,1,12282,9719,2306,2024/03/11 17:23:44.436
0,60,12282,9719,2306,2024/03/11 17:24:14.477
0,0,12282,9719,2306,2024/03/11 17:24:44.531
0,0,12282,9719,2306,2024/03/11 17:25:14.575
0,14,12282,9719,2306,2024/03/11 17:25:44.620
0,8,12282,9723,2302,2024/03/11 17:26:14.664
0,0,12282,9723,2302,2024/03/11 17:26:44.709
0,0,12282,9723,2302,2024/03/11 17:27:14.754
0,78,12282,9723,2302,2024/03/11 17:27:44.808
0,4,12282,9723,2302,2024/03/11 17:28:14.863
0,0,12282,9723,2302,2024/03/11 17:28:44.913
0,0,12282,9723,2302,2024/03/11 17:29:14.962
0,0,12282,9723,2302,2024/03/11 17:29:45.010
0,50,12282,9723,2302,2024/03/11 17:30:15.053
0,16,12282,9723,2302,2024/03/11 17:30:45.114
0,5,12282,9723,2302,2024/03/11 17:31:15.164
0,0,12282,9723,2302,2024/03/11 17:31:45.219
0,4,12282,9723,2302,2024/03/11 17:32:15.259
0,94,12282,9723,2302,2024/03/11 17:32:45.302
0,35,12282,9723,2302,2024/03/11 17:33:15.354
0,0,12282,9723,2302,2024/03/11 17:33:45.397
0,0,12282,9723,2302,2024/03/11 17:34:15.442
0,79,12282,9723,2302,2024/03/11 17:34:45.504
0,1,12282,9723,2302,2024/03/11 17:35:15.552
0,0,12282,9723,2302,2024/03/11 17:35:45.593
0,43,12282,9723,2302,2024/03/11 17:36:15.645
0,77,12282,9723,2302,2024/03/11 17:36:45.686
0,1,12282,9723,2302,2024/03/11 17:37:15.736
0,0,12282,9723,2302,2024/03/11 17:37:45.782
0,0,12282,9723,2302,2024/03/11 17:38:15.823
0,0,12282,9723,2302,2024/03/11 17:38:45.867
0,0,12282,9723,2302,2024/03/11 17:39:15.915
0,1,12282,9723,2302,2024/03/11 17:39:45.968
0,11,12282,9723,2302,2024/03/11 17:40:16.016
0,83,12282,9723,2302,2024/03/11 17:40:46.066
0,12,12282,9723,2302,2024/03/11 17:41:16.116
0,8,12282,9723,2302,2024/03/11 17:41:46.161
0,0,12282,9723,2302,2024/03/11 17:42:16.206
0,1,12282,9723,2302,2024/03/11 17:42:46.249
0,0,12282,9723,2302,2024/03/11 17:43:16.294
0,94,12282,9723,2302,2024/03/11 17:43:46.359
0,13,12282,9723,2302,2024/03/11 17:44:16.458
0,0,12282,9723,2302,2024/03/11 17:44:46.505
0,1,12282,9723,2302,2024/03/11 17:45:16.556
0,95,12282,9723,2302,2024/03/11 17:45:46.601
0,3,12282,9723,2302,2024/03/11 17:46:16.680
0,7,12282,9723,2302,2024/03/11 17:46:46.728
0,0,12282,9725,2300,2024/03/11 17:47:16.773
0,22,12282,9725,2300,2024/03/11 17:47:46.814
0,0,12282,9725,2300,2024/03/11 17:48:16.932
0,0,12282,9725,2300,2024/03/11 17:48:46.972
0,27,12282,9725,2300,2024/03/11 17:49:17.011
0,0,12282,9725,2300,2024/03/11 17:49:47.065
0,8,12282,9725,2300,2024/03/11 17:50:17.107
0,0,12282,9725,2300,2024/03/11 17:50:47.148
0,7,12282,9725,2300,2024/03/11 17:51:17.195
0,59,12282,9725,2300,2024/03/11 17:51:47.243
0,0,12282,9725,2300,2024/03/11 17:52:17.283
0,0,12282,9725,2300,2024/03/11 17:52:47.334
0,0,12282,9725,2300,2024/03/11 17:53:17.385
0,1,12282,9725,2300,2024/03/11 17:53:47.435
0,6,12282,9725,2300,2024/03/11 17:54:17.490
0,0,12282,9725,2300,2024/03/11 17:54:47.542
0,0,12282,9725,2300,2024/03/11 17:55:17.717
0,0,12282,9725,2300,2024/03/11 17:55:47.759
0,80,12282,9725,2300,2024/03/11 17:56:17.807
0,0,12282,9725,2300,2024/03/11 17:56:47.860
0,4,12282,9725,2300,2024/03/11 17:57:17.914
0,26,12282,9725,2300,2024/03/11 17:57:47.970
0,10,12282,9725,2300,2024/03/11 17:58:18.023
0,3,12282,9725,2300,2024/03/11 17:58:48.069
0,0,12282,9725,2300,2024/03/11 17:59:18.117
0,0,12282,9725,2300,2024/03/11 17:59:48.177
0,20,12282,9725,2300,2024/03/11 18:00:18.219
0,12,12282,9729,2296,2024/03/11 18:00:48.261
0,0,12282,9729,2296,2024/03/11 18:01:18.317
0,20,12282,9729,2296,2024/03/11 18:01:48.376
0,3,12282,9729,2296,2024/03/11 18:02:18.422
0,0,12282,9729,2296,2024/03/11 18:02:48.475
0,0,12282,9729,2296,2024/03/11 18:03:18.517
0,24,12282,9729,2296,2024/03/11 18:03:48.564
0,0,12282,9729,2296,2024/03/11 18:04:18.608
0,1,12282,9729,2296,2024/03/11 18:04:48.651
0,62,12282,9729,2296,2024/03/11 18:05:18.693
0,3,12282,9729,2296,2024/03/11 18:05:48.745
0,56,12282,9729,2296,2024/03/11 18:06:18.788
0,0,12282,9729,2296,2024/03/11 18:06:48.844
0,14,12282,9729,2296,2024/03/11 18:07:18.888
0,0,12282,9729,2296,2024/03/11 18:07:48.930
0,0,12282,9729,2296,2024/03/11 18:08:18.975
0,1,12282,9729,2296,2024/03/11 18:08:49.026
0,0,12282,9729,2296,2024/03/11 18:09:19.077
0,0,12282,9729,2296,2024/03/11 18:09:49.129
0,89,12282,9729,2296,2024/03/11 18:10:19.210
0,7,12282,9729,2296,2024/03/11 18:10:49.254
0,0,12282,9729,2296,2024/03/11 18:11:19.323
